rk,player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,three_p,three_p_a,three_p_percent,two_p,tow_p_a,two_p_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
1,Precious Achiuwa,PF-C,24,TOT,74,18,21.9,3.2,6.3,0.501,0.4,1.3,0.268,2.8,5,0.562,0.529,0.9,1.5,0.616,2.6,4,6.6,1.3,0.6,0.9,1.1,1.9,7.6
2,Bam Adebayo,C,26,MIA,71,71,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8
6,Grayson Allen,SG,28,PHO,75,74,33.5,4.5,9.1,0.499,2.7,5.9,0.461,1.8,3.2,0.57,0.649,1.7,2,0.878,0.6,3.3,3.9,3,0.9,0.6,1.3,2.1,13.5
7,Jarrett Allen,C,25,CLE,77,77,31.7,6.7,10.6,0.634,0,0.1,0,6.7,10.6,0.638,0.634,3,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5
9,Jose Alvarado,PG,25,NOP,56,0,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1
10,Kyle Anderson,PF,30,MIN,79,10,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4
12,Thanasis Antetokounmpo,PF,31,MIL,34,0,4.6,0.5,0.9,0.533,0,0,0,0.5,0.9,0.552,0.533,0,0.1,0,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.7,0.9
13,Cole Anthony,PG,23,ORL,81,0,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6
14,OG Anunoby,SF,26,TOT,50,50,34,5.6,11.5,0.489,2,5.3,0.382,3.6,6.2,0.581,0.577,1.3,1.8,0.753,0.9,3.2,4.2,2.1,1.4,0.7,1.6,2.4,14.7
25,Paolo Banchero,PF,21,ORL,80,80,35,8,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7,0.725,1,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6
35,Nicolas Batum,PF,35,TOT,60,38,25.5,1.9,4.3,0.453,1.2,3.1,0.395,0.7,1.2,0.606,0.596,0.3,0.4,0.714,1.2,3,4.1,2.1,0.8,0.6,0.7,1.8,5.3
37,Bradley Beal,SG,30,PHO,53,53,33.3,7.1,13.9,0.513,1.9,4.4,0.43,5.2,9.4,0.552,0.582,2.1,2.5,0.813,1,3.4,4.4,5,1,0.5,2.5,2.4,18.2
38,Malik Beasley,SG,27,MIL,79,77,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3
39,MarJon Beauchamp,SF,23,MIL,48,1,12.7,1.7,3.5,0.488,0.6,1.6,0.4,1.1,1.9,0.56,0.578,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4
42,Patrick Beverley,PG,35,TOT,73,13,20,2.2,5.2,0.417,0.8,2.5,0.337,1.3,2.7,0.49,0.497,1,1.2,0.822,0.7,2.6,3.3,2.9,0.6,0.4,0.9,1.8,6.2
44,Goga Bitadze,C,24,ORL,62,33,15.4,2,3.4,0.603,0,0.2,0.143,2,3.1,0.636,0.608,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5
47,Anthony Black,PG,20,ORL,69,33,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2,1.3,0.5,0.3,0.8,1.6,4.6
51,Bojan Bogdanovi?,SF-PF,34,TOT,57,27,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,0.551,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,15.2
52,Bol Bol,PF,24,PHO,43,0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1,5.2
54,Devin Booker,PG,27,PHO,68,68,36,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13,0.552,0.55,6,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3,27.1
55,Brandon Boston Jr.,SF,22,LAC,32,0,10.8,2,5,0.404,0.4,1.6,0.269,1.6,3.4,0.468,0.447,0.7,1,0.697,0.6,1,1.6,0.4,0.3,0.3,0.8,1.3,5.2
60,Christian Braun,SG,22,DEN,82,4,20.2,2.7,5.9,0.46,0.8,2,0.384,1.9,3.9,0.498,0.525,1.1,1.6,0.694,1,2.8,3.7,1.6,0.5,0.4,0.7,1.7,7.3
63,Oshae Brissett,SF,25,BOS,55,1,11.5,1.2,2.8,0.444,0.3,1,0.273,1,1.8,0.541,0.493,0.9,1.5,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,1,3.7
71,Jaylen Brown,SF,27,BOS,70,70,33.5,9,17.9,0.499,2.1,5.9,0.354,6.9,12.1,0.57,0.557,3,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23
72,Kendall Brown,SG,20,IND,15,0,4.2,0.5,1,0.533,0,0.1,0,0.5,0.9,0.615,0.533,0.3,0.5,0.625,0.2,0.1,0.3,0.3,0,0,0.1,0.6,1.4
73,Kobe Brown,PF,24,LAC,44,0,9,0.8,2,0.411,0.3,1.1,0.292,0.5,1,0.548,0.489,0,0,0.5,0.5,1,1.4,0.6,0.3,0.1,0.2,1.1,2
76,Jalen Brunson,PG,27,NYK,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7
77,Thomas Bryant,C,26,MIA,38,4,11.6,2.3,3.9,0.577,0.1,0.6,0.182,2.2,3.3,0.646,0.591,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7
80,Alec Burks,SG,32,TOT,66,1,18.4,3.2,8.6,0.369,1.9,5,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4
84,Kentavious Caldwell-Pope,SG,30,DEN,76,76,31.6,3.6,7.7,0.46,1.6,4.1,0.406,1.9,3.7,0.52,0.566,1.3,1.5,0.894,0.4,2,2.4,2.4,1.3,0.6,1,2,10.1
88,Wendell Carter Jr.,C,24,ORL,55,48,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11
101,Amir Coffey,SF,26,LAC,70,13,20.9,2.4,5,0.472,1,2.6,0.38,1.4,2.4,0.571,0.571,0.9,1,0.859,0.4,1.7,2.1,1.1,0.6,0.2,0.5,1.5,6.6
104,Mike Conley,PG,36,MIN,76,76,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4
105,Pat Connaughton,SF,31,MIL,76,3,22.1,2,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6
110,Jae Crowder,PF,33,MIL,50,25,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2
115,Dyson Daniels,PG,20,NOP,61,16,22.3,2.3,5.1,0.447,0.7,2.2,0.311,1.6,2.9,0.551,0.514,0.6,0.9,0.642,1,2.9,3.9,2.7,1.4,0.4,1,1.7,5.8
116,Anthony Davis,C,30,LAL,76,76,35.5,9.4,16.9,0.556,0.4,1.4,0.271,9,15.5,0.582,0.567,5.5,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7
122,Mamadi Diakite,PF,27,TOT,6,0,4,0.7,1,0.667,0,0.2,0,0.7,0.8,0.8,0.667,0.7,1,0.667,0.2,0.5,0.7,0.3,0.2,0.2,0.2,0.3,2
125,Ousmane Dieng,PF,20,OKC,33,0,11.1,1.5,3.5,0.422,0.6,2.1,0.3,0.8,1.4,0.609,0.513,0.4,0.5,0.875,0.3,1.2,1.5,1.1,0.2,0.2,0.6,0.7,4
126,Spencer Dinwiddie,PG,30,TOT,76,52,28.3,3.3,8.4,0.392,1.6,4.8,0.337,1.7,3.6,0.467,0.489,2.2,2.8,0.805,0.4,2.3,2.7,4.7,0.7,0.3,1.2,1.8,10.5
127,Donte DiVincenzo,SG,27,NYK,81,63,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5
128,Luka Don?i?,PG,24,DAL,70,70,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4,2.1,33.9
129,Luguentz Dort,SF,24,OKC,79,79,28.4,3.6,8.3,0.438,2,5,0.394,1.7,3.3,0.506,0.557,1.6,2,0.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9
137,Kevin Durant,PF,35,PHO,75,75,37.2,10,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5,0.9,1.2,3.3,1.8,27.1
140,Anthony Edwards,SG,22,MIN,79,78,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9
143,Joel Embiid,C,29,PHI,39,39,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11,5.6,1.2,1.7,3.8,2.9,34.7
144,Drew Eubanks,C,26,PHO,75,6,15.6,2,3.4,0.601,0,0,1,2,3.3,0.596,0.607,1,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1
146,Dante Exum,PG,28,DAL,55,17,19.8,2.9,5.5,0.533,1,2,0.491,2,3.5,0.557,0.621,1,1.2,0.779,0.5,2.3,2.7,2.9,0.4,0.1,0.9,1.5,7.8
158,Markelle Fultz,PG,25,ORL,43,18,21.2,3.6,7.6,0.472,0.1,0.4,0.222,3.5,7.2,0.487,0.479,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1,0.3,1.2,1.5,7.8
161,Daniel Gafford,C-PF,25,TOT,74,66,24.5,4.7,6.5,0.725,0,0,0,4.7,6.5,0.725,0.725,1.6,2.4,0.674,2.6,5,7.6,1.6,0.9,2.1,1,3.1,11
162,Danilo Gallinari,PF-SF,35,TOT,49,0,12.9,1.7,3.9,0.437,0.6,1.9,0.323,1.1,2,0.546,0.516,1.7,2,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1,5.7
163,Darius Garland,PG,24,CLE,57,57,33.4,6.6,14.8,0.446,2.3,6.2,0.371,4.3,8.5,0.501,0.524,2.6,3.1,0.834,0.5,2.1,2.7,6.5,1.3,0.1,3.1,1.7,18
165,Luka Garza,C,25,MIN,25,0,4.9,1.4,3,0.48,0.4,1.3,0.281,1.1,1.7,0.628,0.54,0.7,1,0.72,0.8,0.5,1.2,0.2,0.2,0,0.2,1,4
168,Paul George,PF,33,LAC,74,74,33.8,7.9,16.7,0.471,3.3,7.9,0.413,4.6,8.8,0.523,0.569,3.6,3.9,0.907,0.5,4.7,5.2,3.5,1.5,0.5,2.1,2.7,22.6
170,Josh Giddey,SG,21,OKC,80,80,25.1,5,10.6,0.475,1,3,0.337,4,7.6,0.53,0.523,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3
172,Shai Gilgeous-Alexander,PG,25,OKC,75,75,34,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1
176,Rudy Gobert,C,31,MIN,76,76,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14
178,Aaron Gordon,PF,28,DEN,73,73,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,7.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9
179,Eric Gordon,SG,35,PHO,68,24,27.8,4,9.1,0.443,2.2,5.8,0.378,1.8,3.3,0.561,0.565,0.8,0.9,0.797,0.2,1.6,1.8,2,1,0.4,1.1,1.2,11
183,A.J. Green,SG,24,MIL,56,0,11,1.5,3.5,0.423,1.2,3,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1,1.1,0.5,0.2,0.1,0.2,0.9,4.5
189,Josh Green,SG,23,DAL,57,33,26.4,3.1,6.6,0.479,1.3,3.3,0.385,1.9,3.3,0.572,0.575,0.7,1,0.684,0.7,2.5,3.2,2.3,0.8,0.2,1.1,1.9,8.2
194,Rui Hachimura,PF,25,LAL,68,39,26.9,5.3,9.9,0.537,1.4,3.4,0.422,3.9,6.5,0.597,0.609,1.5,2,0.739,0.9,3.5,4.3,1.2,0.6,0.4,0.7,1.5,13.6
196,Tyrese Haliburton,PG,23,IND,69,68,32.2,7.2,15.2,0.477,2.8,7.8,0.364,4.4,7.4,0.595,0.57,2.8,3.3,0.855,0.5,3.4,3.9,10.9,1.2,0.7,2.3,1.1,20.1
198,Tim Hardaway Jr.,SF,31,DAL,79,12,26.8,5,12.4,0.402,2.7,7.6,0.353,2.3,4.8,0.478,0.51,1.8,2.1,0.852,0.3,2.9,3.2,1.8,0.5,0.1,0.9,1.3,14.4
199,James Harden,PG,34,LAC,72,72,34.3,4.9,11.4,0.428,2.6,6.8,0.381,2.3,4.6,0.497,0.541,4.2,4.8,0.878,0.5,4.7,5.1,8.5,1.1,0.8,2.6,1.8,16.6
200,Jaden Hardy,SG,21,DAL,73,7,13.5,2.7,6.6,0.407,1.1,3.1,0.362,1.6,3.5,0.447,0.492,0.8,1,0.776,0.3,1.5,1.8,1.5,0.3,0.1,0.8,1.1,7.3
202,Gary Harris,SG,29,ORL,54,27,24,2.4,5.5,0.441,1.4,3.8,0.371,1,1.7,0.598,0.569,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9
205,Tobias Harris,PF,31,PHI,70,70,33.8,6.6,13.6,0.487,1.3,3.7,0.353,5.3,9.9,0.537,0.535,2.7,3,0.878,1.1,5.3,6.5,3.1,1,0.7,1.3,1.6,17.2
207,Josh Hart,SF,28,NYK,81,42,33.4,3.6,8.4,0.434,1,3.2,0.31,2.7,5.2,0.511,0.493,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4
208,Isaiah Hartenstein,C,25,NYK,75,49,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8
209,Sam Hauser,SF,26,BOS,79,13,22,3.2,7.1,0.446,2.5,5.9,0.424,0.7,1.2,0.559,0.623,0.2,0.2,0.895,0.6,2.9,3.5,1,0.5,0.3,0.4,1.3,9
210,Jordan Hawkins,SG,21,NOP,67,10,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1,2.4,0.411,0.501,1,1.2,0.838,0.4,1.8,2.2,1,0.3,0.1,0.6,1.1,7.8
211,Jaxson Hayes,C,23,LAL,70,5,12.5,1.8,2.5,0.72,0,0.1,0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1,2,3,0.5,0.5,0.4,0.6,1.8,4.3
213,Gordon Hayward,SF,33,TOT,51,28,24.4,3.7,7.9,0.464,0.7,1.8,0.411,2.9,6.1,0.479,0.51,1.7,2.4,0.742,0.7,2.8,3.5,3.1,0.8,0.3,1.3,1.3,9.8
216,Tyler Herro,SG,24,MIA,42,40,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8
217,Buddy Hield,SF-SG,31,TOT,84,42,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1
218,Haywood Highsmith,PF,27,MIA,66,26,20.7,2.3,5,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1
222,Jrue Holiday,PG,33,BOS,69,69,32.8,4.8,10,0.48,2,4.7,0.429,2.8,5.3,0.526,0.581,0.9,1,0.833,1.2,4.2,5.4,4.8,0.9,0.8,1.8,1.6,12.5
223,Justin Holiday,SG,34,DEN,58,9,14.9,1.5,3.3,0.454,0.9,2.3,0.404,0.6,1,0.569,0.595,0.1,0.1,0.75,0.2,1.1,1.2,1.2,0.6,0.2,0.2,1.2,4
225,Chet Holmgren,C,21,OKC,82,82,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5
227,Al Horford,C,37,BOS,65,33,26.8,3.3,6.4,0.511,1.7,4,0.419,1.6,2.5,0.658,0.64,0.4,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4,8.6
230,Caleb Houstan,SF,21,ORL,59,13,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1,4.3
231,Jett Howard,SF,20,ORL,18,0,3.7,0.6,1.7,0.333,0.4,1.4,0.28,0.2,0.3,0.6,0.45,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.1,0.1,0.2,0.2,1.6
236,Bones Hyland,PG,23,LAC,37,5,14.6,2.6,6.8,0.386,1.2,3.6,0.326,1.4,3.1,0.457,0.474,0.5,0.6,0.783,0.1,1.4,1.5,2.5,0.7,0.1,1.2,1.4,6.9
237,Joe Ingles,SF,36,ORL,68,0,17.2,1.5,3.3,0.436,1,2.4,0.435,0.4,1,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3,4.4
238,Brandon Ingram,SF,26,NOP,64,64,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8
239,Kyrie Irving,SG,31,DAL,58,58,35,9.7,19.5,0.497,3,7.3,0.411,6.7,12.2,0.548,0.573,3.3,3.6,0.905,0.8,4.2,5,5.2,1.3,0.5,1.8,1.9,25.6
240,Jonathan Isaac,PF,26,ORL,58,2,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3,0.598,0.584,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8
242,Andre Jackson Jr.,SG,22,MIL,57,8,10,0.9,1.8,0.5,0.3,0.8,0.37,0.6,0.9,0.611,0.585,0.1,0.2,0.727,0.8,1.2,2,0.9,0.3,0.1,0.5,1.6,2.2
244,Isaiah Jackson,C,22,IND,59,3,13.1,2.6,3.9,0.665,0,0.1,0,2.6,3.9,0.677,0.665,1.2,1.7,0.716,1.6,2.4,4,0.8,0.6,1,0.7,2.3,6.5
248,Reggie Jackson,PG,33,DEN,82,23,22.2,4,9.2,0.431,1.2,3.5,0.359,2.7,5.8,0.475,0.499,1,1.2,0.806,0.4,1.5,1.9,3.8,0.5,0.2,1.3,1.8,10.2
250,LeBron James,PF,39,LAL,71,71,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7
251,Jaime Jaquez Jr.,SF,22,MIA,75,20,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9
253,DaQuan Jeffries,SG,26,NYK,17,0,2.7,0.4,1,0.353,0.1,0.6,0.2,0.2,0.4,0.571,0.412,0,0.1,0,0,0.3,0.3,0.3,0,0.1,0.2,0.1,0.8
256,Isaiah Joe,SG,24,OKC,78,1,18.5,2.8,6.2,0.458,1.9,4.5,0.416,1,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2
259,James Johnson,PF,36,IND,9,0,5.2,0.3,1.1,0.3,0,0.2,0,0.3,0.9,0.375,0.3,0.2,0.2,1,0.1,0.3,0.4,0.9,0.6,0.1,0.6,1,0.9
263,Nikola Joki?,C,28,DEN,79,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9,1.4,0.9,3,2.5,26.4
265,Damian Jones,C,28,CLE,39,0,6.9,1.1,1.8,0.597,0.1,0.4,0.214,1,1.5,0.69,0.618,0.5,0.5,0.857,0.5,1.1,1.6,0.4,0.2,0.3,0.3,0.7,2.7
266,Derrick Jones Jr.,SF,26,DAL,76,66,23.5,3.1,6.5,0.483,1.1,3.1,0.343,2.1,3.4,0.613,0.566,1.3,1.8,0.713,1.1,2.2,3.3,1,0.7,0.7,0.9,1.6,8.6
267,Herbert Jones,SF,25,NOP,76,76,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11
271,DeAndre Jordan,C,35,DEN,36,2,11,1.6,2.6,0.624,0,0,0,1.6,2.6,0.624,0.624,0.7,1.5,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,1.6,3.9
273,Nikola Jovi?,PF,20,MIA,46,38,19.5,2.8,6.1,0.452,1.4,3.5,0.399,1.3,2.6,0.525,0.568,0.7,1,0.702,0.5,3.6,4.2,2,0.5,0.3,0.9,1.8,7.7
279,Maxi Kleber,C,32,DAL,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4
283,Luke Kornet,C,28,BOS,63,7,15.6,2.3,3.2,0.7,0,0,1,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1,0.3,1.2,5.3
